Time,Accel
4.13,1.088847E-05
4.135,-3.179596E-05
4.14,6.393222E-06
4.145,4.914048E-05
4.15,2.824451E-06
4.155,-3.612883E-05
4.16,-5.833040E-06
4.165,3.906528E-05
4.17,3.866889E-05
4.175,1.908134E-05
4.18,-1.809695E-05
4.185,-2.840789E-05
4.19,1.668437E-06
4.195,4.590469E-05
4.2,5.889289E-05
4.205,2.157538E-05
4.21,-1.063279E-05
4.215,-1.848091E-05
4.22,-3.214591E-05
4.225,-2.540869E-05
4.23,-2.794539E-06
4.235,4.770077E-06
4.24,6.790945E-06
4.245,4.452944E-05
4.25,9.661631E-05
4.255,8.397139E-05
4.26,1.591450E-05
4.265,-1.108495E-05
4.27,2.226592E-05
4.275,2.894178E-05
4.28,-8.213820E-07
4.285,-4.157064E-06
4.29,1.870177E-05
4.295,-5.993236E-06
4.3,-2.060501E-05
4.305,2.844340E-05
4.31,6.144752E-05
4.315,3.540636E-05
4.32,1.888806E-05
4.325,1.229116E-05
4.33,-1.207807E-06
4.335,-7.610804E-06
4.34,-5.753328E-06
4.345,5.555063E-06
4.35,2.929083E-05
4.355,1.417333E-05
4.36,-4.473343E-05
4.365,-6.247083E-05
4.37,1.031510E-05
4.375,5.725145E-05
4.38,-8.386747E-08
4.385,-4.072329E-05
4.39,-8.028406E-06
4.395,4.802706E-05
4.4,6.031786E-05
4.405,2.747562E-05
4.41,1.853822E-05
4.415,1.418506E-05
4.42,7.340710E-06
4.425,2.298493E-05
4.43,2.054778E-05
4.435,-1.078372E-05
4.44,-4.438413E-05
4.445,-2.337591E-05
4.45,2.241474E-05
4.455,-9.494745E-06
4.46,-7.064507E-05
4.465,-7.369970E-05
4.47,-2.253529E-05
4.475,1.112128E-06
4.48,-2.869942E-05
4.485,-2.518702E-05
4.49,3.533925E-05
4.495,6.490203E-05
4.5,2.618757E-05
4.505,-2.217350E-05
4.51,-4.474008E-05
4.515,-2.616597E-05
4.52,1.213972E-06
4.525,4.092296E-06
4.53,-2.387432E-06
4.535,-2.131283E-05
4.54,-7.480311E-05
4.545,-8.632097E-05
4.55,-1.979752E-05
4.555,4.625301E-05
4.56,3.433304E-05
4.565,2.022170E-06
4.57,2.761680E-05
4.575,5.759881E-05
4.58,2.922994E-05
4.585,-9.859065E-06
4.59,-4.409153E-06
4.595,4.012397E-05
4.6,6.045213E-05
4.605,2.320562E-05
4.61,-3.692871E-06
4.615,2.106955E-05
4.62,1.790783E-05
4.625,-3.224793E-05
4.63,-2.945136E-05
4.635,2.703921E-05
4.64,3.433971E-05
4.645,-1.053299E-06
4.65,-1.449582E-05
4.655,-5.004965E-06
4.66,1.509122E-06
4.665,-2.509647E-06
4.67,4.140579E-06
4.675,2.846273E-05
4.68,2.444319E-05
4.685,-1.134780E-05
4.69,-4.286269E-05
4.695,-3.876407E-05
4.7,-3.212164E-05
4.705,-2.104047E-05
4.71,-1.808217E-06
4.715,-1.442248E-05
4.72,-6.569035E-05
4.725,-5.710211E-05
4.73,1.424001E-05
4.735,7.930698E-05
4.74,5.253231E-05
4.745,1.469339E-07
4.75,2.941139E-05
4.755,9.709555E-05
4.76,9.586400E-05
4.765,7.165317E-05
4.77,1.323404E-04
4.775,2.284456E-04
4.78,2.588408E-04
4.785,2.385354E-04
4.79,2.163489E-04
4.795,1.968558E-04
4.8,2.060016E-04
4.805,2.289163E-04
4.81,2.255677E-04
4.815,1.767034E-04
4.82,1.143622E-04
4.825,8.045901E-05
4.83,5.653422E-05
4.835,2.922276E-05
4.84,1.276367E-06
4.845,2.078207E-05
4.85,7.145687E-05
4.855,8.762578E-05
4.86,1.335370E-04
4.865,2.623066E-04
4.87,4.525255E-04
4.875,6.640964E-04
4.88,8.179703E-04
4.885,8.855197E-04
4.89,9.047264E-04
4.895,8.662959E-04
4.9,7.462779E-04
4.905,5.466069E-04
4.91,2.757041E-04
4.915,-2.120338E-06
4.92,-2.573181E-04
4.925,-5.124871E-04
4.93,-7.535156E-04
4.935,-9.931917E-04
4.94,-1.216320E-03
4.945,-1.431476E-03
4.95,-1.643432E-03
4.955,-1.800748E-03
4.96,-1.868492E-03
4.965,-1.801488E-03
4.97,-1.631296E-03
4.975,-1.372855E-03
